"FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
"301033","(Buoy/platform - fixed)",,"301012","Hour, minute","Time",,"Operational"
"301033","(Buoy/platform - fixed)",,"301021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
"301034","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
"301034","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
"301034","(Buoy/platform - fixed)",,"301011","Year, month, day","Date",,"Operational"
"301034","(Buoy/platform - fixed)",,"301012","Hour, minute","Time",,"Operational"
"301034","(Buoy/platform - fixed)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
"301035","(Buoy/platform - moving)",,"001005","Buoy/platform identifier","Buoy/platform identifier","<(see Note 4)>","Operational"
"301035","(Buoy/platform - moving)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
"301035","(Buoy/platform - moving)",,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
"301035","(Buoy/platform - moving)",,"002001","Type of station","Type of station",,"Operational"
"301035","(Buoy/platform - moving)",,"301011","Year, month, day","Date",,"Operational"
"301035","(Buoy/platform - moving)",,"301012","Hour, minute","Time",,"Operational"
"301035","(Buoy/platform - moving)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
"301036","(Ship)",,"301003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
"301036","(Ship)",,"002001","Type of station","Type of station",,"Operational"
"301036","(Ship)",,"301011","Year, month, day","Date",,"Operational"
"301036","(Ship)",,"301012","Hour, minute","Time",,"Operational"
"301036","(Ship)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
"301037","(Land station for vertical soundings)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
"301037","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
"301037","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
"301037","(Land station for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
"301037","(Land station for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
"301037","(Land station for vertical soundings)",,"301022","Latitude/longitude (high accuracy), height of station","Latitude and longitude (high accuracy), height of station",,"Operational"
"301038","(Land station for vertical soundings)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
"301038","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
"301038","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
"301038","(Land station for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
"301038","(Land station for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
"301038","(Land station for vertical soundings)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
"301039","(Ship for vertical soundings)",,"301003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
"301039","(Ship for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
"301039","(Ship for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
"301039","(Ship for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
"301039","(Ship for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
"301039","(Ship for vertical soundings)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
"301040","(Ship for vertical soundings)",,"301003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
"301040","(Ship for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
"301040","(Ship for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
"301040","(Ship for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
"301040","(Ship for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
"301040","(Ship for vertical soundings)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
"301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
"301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
"301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"002022","Satellite data-processing technique used","Satellite data-processing technique used",,"Operational"
"301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"301011","Year, month, day","Date",,"Operational"
"301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"301012","Hour, minute","Time",,"Operational"
"301042","(Satellite identifier, instrument, data-processing technique, date/time, location)",,"301041","Satellite identifier, instrument, data-processing technique, date/time","Satellite identifier, data used, and data processing technique; date/time",,"Operational"
"301042","(Satellite identifier, instrument, data-processing technique, date/time, location)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
"301043","(Satellite identifier, wind computation method, date/time, location)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
"301043","(Satellite identifier, wind computation method, date/time, location)",,"002023","Satellite-derived wind computation method","Cloud motion computational method",,"Operational"
"301043","(Satellite identifier, wind computation method, date/time, location)",,"301011","Year, month, day","Date",,"Operational"
"301043","(Satellite identifier, wind computation method, date/time, location)",,"301013","Hour, minute, second","Time",,"Operational"
"301043","(Satellite identifier, wind computation method, date/time, location)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
"301044","(Satellite identifier, humidity computation method, date/time, location)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
"301044","(Satellite identifier, humidity computation method, date/time, location)",,"002024","Integrated mean humidity computational method","Integrated mean humidity computational method",,"Operational"
"301044","(Satellite identifier, humidity computation method, date/time, location)",,"301011","Year, month, day","Date",,"Operational"
"301044","(Satellite identifier, humidity computation method, date/time, location)",,"301013","Hour, minute, second","Time",,"Operational"
"301044","(Satellite identifier, humidity computation method, date/time, location)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
"301045","(Satellite location and velocity)",,"301011","Year, month, day","Year, month, day",,"Operational"
"301045","(Satellite location and velocity)",,"301012","Hour, minute","Time (hour, minute)",,"Operational"
"301045","(Satellite location and velocity)",,"201138","Change data width","Change width to 16 bits",,"Operational"
"301045","(Satellite location and velocity)",,"202131","Change scale","Change scale to 3",,"Operational"
"301045","(Satellite location and velocity)",,"004006","Second","Second",,"Operational"
"301045","(Satellite location and velocity)",,"201000","Change data width","Change width back to Table B",,"Operational"
"301045","(Satellite location and velocity)",,"202000","Change scale","Change scale back to Table B",,"Operational"
"301045","(Satellite location and velocity)",,"304030","Location of platform","Location relative to the Earth’s centre",,"Operational"
"301045","(Satellite location and velocity)",,"304031","Speed of platform","Velocity relative to the Earth’s centre",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
"301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
